accel_x[m/s^2],accel_y[m/s^2],accel_z[m/s^2],gyro_x[rad/s],gyro_y[rad/s],gyro_z[rad/s],mag_x[uT],mag_y[uT],mag_z[uT]
-0.11,0,-10.26,-0.11,0,-10.26,63.91,2.33,2.93
-0.11,-2.04,-10.27,-0.11,-2.04,-10.27,66.75,3.04,0.86
-0.15,-1.98,-10.29,-0.15,-1.98,-10.29,64.62,0.9,2.58
-0.17,-1.76,-10.29,-0.17,-1.76,-10.29,63.72,2.87,2.41
-0.22,-1.59,-10.31,-0.22,-1.59,-10.31,63.56,4.12,0.86
-0.22,-1.44,-10.29,-0.22,-1.44,-10.29,64.44,2.15,1.38
-0.19,-1.44,-10.27,-0.19,-1.44,-10.27,66.19,2.15,0.34
-0.11,-1.62,-10.29,-0.11,-1.62,-10.29,65.5,2.15,2.41
-0.13,-1.76,-10.3,-0.13,-1.76,-10.3,64.75,2.51,1.38
-0.15,-1.9,-10.31,-0.15,-1.9,-10.31,64.62,2.33,1.55
-0.17,-1.96,-10.31,-0.17,-1.96,-10.31,66.75,2.33,1.89
-0.19,-1.86,-10.27,-0.19,-1.86,-10.27,64.94,3.04,1.55
-0.19,-1.73,-10.28,-0.19,-1.73,-10.28,65.31,2.69,1.55
-0.2,-1.58,-10.27,-0.2,-1.58,-10.27,64.75,2.87,2.41
-0.11,-1.47,-10.28,-0.11,-1.47,-10.28,65.12,3.58,1.03
-0.16,-1.53,-10.29,-0.16,-1.53,-10.29,65.31,2.69,1.89
-0.2,-1.61,-10.26,-0.2,-1.61,-10.26,64.44,1.79,2.41
-0.17,-1.85,-10.27,-0.17,-1.85,-10.27,64.44,1.79,2.41
-0.22,-2.04,-10.31,-0.22,-2.04,-10.31,63.38,0.72,2.06
-0.22,-2.04,-10.29,-0.22,-2.04,-10.29,65.5,3.94,1.38
-0.22,-2.07,-10.3,-0.22,-2.07,-10.3,65.5,2.51,1.72
-0.27,-1.89,-10.27,-0.27,-1.89,-10.27,65.31,1.61,0.86
-0.22,-1.65,-10.3,-0.22,-1.65,-10.3,64.75,3.58,1.72
-0.18,-1.67,-10.28,-0.18,-1.67,-10.28,64.94,2.69,0.86
-0.15,-1.57,-10.27,-0.15,-1.57,-10.27,65.5,3.22,2.06
-0.1,-1.62,-10.3,-0.1,-1.62,-10.3,64.62,1.97,0.86
-0.13,-1.89,-10.27,-0.13,-1.89,-10.27,63.72,3.94,0.69
-0.19,-1.92,-10.29,-0.19,-1.92,-10.29,66.19,2.87,0.69
-0.24,-1.98,-10.3,-0.24,-1.98,-10.3,63.19,2.69,1.55
-0.25,-2.05,-10.3,-0.25,-2.05,-10.3,65.31,2.69,1.89
-0.19,-1.81,-10.27,-0.19,-1.81,-10.27,64.44,2.15,2.06
-0.11,-1.66,-10.31,-0.11,-1.66,-10.31,64.62,3.04,1.55
-0.08,-1.61,-10.3,-0.08,-1.61,-10.3,65.31,3.76,-0.17
-0.09,-1.42,-10.3,-0.09,-1.42,-10.3,64.06,3.94,2.06
-0.15,-1.51,-10.3,-0.15,-1.51,-10.3,63.56,3.04,2.24
-0.11,-1.67,-10.29,-0.11,-1.67,-10.29,65.69,1.61,2.93
-0.07,-1.81,-10.27,-0.07,-1.81,-10.27,64.44,2.15,1.38
-0.24,-1.94,-10.32,-0.24,-1.94,-10.32,63.91,2.69,1.89
-0.2,-1.92,-10.28,-0.2,-1.92,-10.28,64.94,2.33,0.52
-0.15,-1.88,-10.28,-0.15,-1.88,-10.28,64.94,3.04,1.89
-0.31,-1.75,-10.29,-0.31,-1.75,-10.29,64.06,1.08,0.34
0.22,-2.29,-11.09,0.22,-2.29,-11.09,65.88,3.22,2.06
-0.88,-1.84,-8.42,-0.88,-1.84,-8.42,64.75,2.87,0.34
-0.11,-1.71,-28.97,-0.11,-1.71,-28.97,65.12,4.3,2.75
4.07,0.98,-99.19,4.07,0.98,-99.19,64.44,2.51,2.06
4.81,-2.93,-73.62,4.81,-2.93,-73.62,65.69,3.04,1.21
-5.12,-0.14,-84.88,-5.12,-0.14,-84.88,64.75,3.58,2.06
6.99,4.86,-73.38,6.99,4.86,-73.38,64.06,1.79,3.1
-3.51,-6.2,-65.88,-3.51,-6.2,-65.88,65.31,3.04,0.52
-4.51,-10.7,-63.28,-4.51,-10.7,-63.28,64.75,1.43,3.44
0.61,-2.49,-64.44,0.61,-2.49,-64.44,64.25,0.9,2.58
8.15,-1.59,-57.5,8.15,-1.59,-57.5,65.5,2.15,-0.69
2.02,-10.2,-51.84,2.02,-10.2,-51.84,65.31,0.18,1.21
4.67,2.01,-51.31,4.67,2.01,-51.31,63.91,0.54,1.21
3.23,5.91,-48.91,3.23,5.91,-48.91,66.75,1.61,0.52
-0.61,-1.51,-51.66,-0.61,-1.51,-51.66,64.44,1.79,1.72
-0.16,-1.58,-52.81,-0.16,-1.58,-52.81,64.25,0.9,3.62
-0.52,-3.22,-53.47,-0.52,-3.22,-53.47,66,1.25,1.21
1.33,-8.01,-53.53,1.33,-8.01,-53.53,64.06,2.15,1.38
0.45,-6.43,-54.16,0.45,-6.43,-54.16,65.88,1.79,2.06
2.15,1.76,-55.53,2.15,1.76,-55.53,64.94,1.61,1.89
-0.03,0.06,-52.19,-0.03,0.06,-52.19,65.69,1.97,1.21
1.46,-2.95,-51.19,1.46,-2.95,-51.19,64.62,1.97,1.89
0.33,-1.56,-49.31,0.33,-1.56,-49.31,65.69,3.04,-0.17
0.05,-3.32,-51.09,0.05,-3.32,-51.09,64.06,3.94,1.72
1.28,-2.1,-52.31,1.28,-2.1,-52.31,64.25,3.76,1.55
